Index,ID,wave,flux,s_n,d_vel,type,species,sigma_d_vel,fcat
3397,UIL,8845.4299,0.0143880648084528,20.2320299035024,1.7827485200119775,Unidentified,UIL,23.026030986742942,0.0
3405,UIL,8855.7089,0.3169308275838872,31.11994071980142,6.222313545253792,Unidentified,UIL,7.714308156930762,0.1
3412,UIL,8864.1533,0.3499722089986879,4527.5,-51.71993797377521,Unidentified,UIL,15.428616313861523,0.1
3414,H I 8862.79,8867.56,1.9944501633754783,523.3607748117989,1.027759831001134,Medium,H I,1.2035835359861398,1.0
3435,UIL,8893.5583,0.1234236612055671,7.999498997996,-12.680768303301203,Unidentified,UIL,7.714308156930762,0.1
3439,UIL,8898.7561,0.2813324359924792,5.272572525442759,12.438588784434643,Unidentified,UIL,7.714308156930762,0.1
3481,UIL,8951.0563,0.2118533938045966,9.563613684193587,-36.88400319858836,Unidentified,UIL,15.428616313861523,0.1
3494,UIL,,0.0012752930321344,0.32996272586948,,Unidentified,UIL,,0.0
3536,H I 9014.91,9019.8849,2.263499703885908,281.899499922972,3.313749429670951,Medium,H I,2.4071670719722795,1.0
3539,UIL,9024.5041,0.3216889384289269,12.435698908903168,-32.89066305339706,Unidentified,UIL,15.428616313861523,0.1
3548,UIL,9034.3826,0.3990548512482545,20.32468289338433,0.6271695101761091,Unidentified,UIL,7.714308156930762,0.1
3552,UIL,9039.867,0.0452374347898966,6.33360389610394,47.85574883757001,Unidentified,UIL,46.052061973485884,0.0
3561,UIL+,,-0.0028805961032862,-0.3997374862335315,,Unidentified,UIL,,0.0
3564,UIL,9055.0937,0.1360200699800271,15.479713957717465,-35.69236889326022,Unidentified,UIL,15.428616313861523,0.1
3570,UIL,9062.3479,0.2794714573217683,92.64445868033356,-67.90342743216603,Unidentified,UIL,15.428616313861523,0.1
3574,He I 9063.29,9066.8814,0.4586170021321258,5.261276169187275,29.80735912073428,Medium,He I,5.118128545095516,0.1
3579,[S III] 9068.90,9073.8815,14.176699750860754,139.21647215105807,4.027514750360897,Medium,[S III],1.343932039399113,10.0
3591,UIL,9089.2923,0.085914215724261,5.706327814144541,-25.543185086539264,Unidentified,UIL,23.026030986742942,0.0
3603,UIL,9104.0346,0.2891130322045797,26.376449660873337,126.65143168617087,Unidentified,UIL,15.428616313861523,0.1
3615,UIL,9118.8035,0.0956301972386102,62.64015905164419,,Unidentified,UIL,23.026030986742942,0.0
3622,[Cl II] 9123.60,9126.7917,0.0608243926715248,9.165631274152828,-14.03837194500421,Low,[Cl II],16.739276513003208,0.0
3640,UIL,9150.4702,0.1736188408660268,11.058897409224178,78.29009892935409,Unidentified,UIL,15.428616313861523,0.1
3649,UIL,9160.5082,0.0915432932525886,10.31820449459763,,Unidentified,UIL,23.026030986742942,0.0
3654,UIL,9168.1262,0.0334484751410709,5.3937585100556005,,Unidentified,UIL,23.026030986742942,0.0
3687,Ca I] 9204.09,9209.483,0.0349493682563753,6.109877604338387,10.156749928519021,Fe,Ca I],16.739276513003208,0.0
3692,He I 9210.28,9215.463,0.0639303181562374,9.233044934412556,,Medium,He I,4.075702773121196,0.0
3699,Fe I] 9218.47,9222.2947,0.0421163659398913,5.1558887067308286,-28.506244296213428,Unknown,Unknown,,0.0
3707,H I 9229.01,9234.1019,3.136035060266545,57.50542155861833,5.71733550787585,Medium,H I,2.4071670719722795,1.0
3711,UIL+,,-0.1197248936295125,-3.892316391279764,,Unidentified,UIL,,0.0
3720,Ca I] 9244.31,9248.8169,0.0262460526511067,4.782230965390999,-10.803243983590047,Fe,Ca I],16.739276513003208,0.0
3736,UIL,9269.6641,0.0403712281064441,9.01635117912144,49.299393970954604,Unidentified,UIL,46.052061973485884,0.0
3762,UIL,9302.6743,0.2498465320652809,44.367879203844005,5.94268092193562,Unidentified,UIL,7.714308156930762,0.1
